Product ID (#),Name,$ Price:,Quantity,Category,Description,Production Date (DD/MM/YYYY),Expiration Date (DD/MM/YYYY),Rating:,Status
1,Подставки под горячее,467,114,Товары для дома,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",2018-07-10,2025-04-09,2.99,Temporarily Unavailable
2,Свинина,8821,362,Мясо,"Легко усваивается организмом, обеспечивая быстрое насыщение и энергию.",1991-07-01,2028-01-01,1.63,On Backorder
3,Мускатный орех молотый,7732,283,Бакалея,Подходит для людей с различными пищевыми предпочтениями и аллергиями.,2011-04-02,2013-10-02,4.44,Temporarily Unavailable
4,Катык,980,898,Молочные продукты,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2022-01-03,2024-05-01,1.68,Available for Pickup
5,"Экзотические виды мяса (например, страус, кенгуру)",8693,770,Мясо,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1996-01-06,2003-01-25,1.05,Available for Pickup
6,Глинтвейн,8601,1,Напитки,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",1997-01-03,2020-02-19,3.33,Cancelled
7,Морковь,6744,68,Овощи,"Отличается высоким содержанием витаминов группы D, необходимых для здоровья костей и иммунитета.",2016-01-02,2019-05-01,1.17,New
8,Темный шоколад,5157,756,Бакалея,Помогает поддерживать нормальный уровень тестостерона у мужчин.,2007-06-12,2023-07-14,2.1,Sold
9,Адыгейский сыр,8261,639,Молочные продукты,"Обладает антиоксидантными свойствами, защищающими клетки от повреждений.",1999-09-03,2012-07-13,4.82,Refunded
10,Окорок,8417,650,Мясо,Помогает поддерживать нормальный уровень гемоглобина в крови.,2012-07-05,2024-03-16,0.27,Out of Stock
11,Мацони,8802,920,Молочные продукты,"Отличается высоким содержанием ресвератрола, вещества, обладающего антивозрастными свойствами.",2016-03-13,2026-04-18,2.32,Delivered
12,Пакеты для документов,5882,45,Товары для дома,Отличается низким содержанием насыщенных жиров и холестерина.,1996-02-06,2000-07-12,3.71,Out of Stock
13,Чеддер,1146,216,Молочные продукты,"Отличается высоким содержанием ликопина, каротиноида, полезного для здоровья простаты и кожи.",2002-01-08,2011-06-01,2.21,Refunded
14,Сок грейпфрутовый,2209,345,Напитки,"Отличается высоким содержанием омега-3 жирных кислот, полезных для сердца.",2007-03-01,2007-03-07,0.95,Cancelled
15,Каша из дробленной кукурузной крупы,6565,386,Бакалея,"Отличается высоким содержанием селена, важного для антиоксидантной защиты организма.",2015-01-17,2026-02-13,4.99,Awaiting Review
16,Вилки,3076,630,Товары для дома,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",1996-03-17,2007-03-02,1.75,Shipping
17,Картофель,886,940,Овощи,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",2010-01-16,2013-01-04,1.07,Cancelled
18,Овсянка,3898,996,Бакалея,Придает блюдам особую нежность и насыщенность.,2007-03-12,2028-07-01,3.6,On Backorder
19,Горох,401,795,Овощи,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",1991-04-14,2009-01-01,1.68,Out of Stock
20,Тушенка,8225,256,Мясо,"Отличается высоким содержанием ресвератрола, вещества, обладающего антивозрастными свойствами.",1993-06-12,2026-04-10,4.44,Returned
21,Ленинградская,7283,840,Напитки,"Помогает поддерживать нормальный уровень тиреоидных гормонов, регулирующих обмен веществ.",1991-01-22,2015-01-07,0.83,Pending
22,Кристалл Байкала,8000,30,Напитки,"Помогает поддерживать нормальный уровень дигидротестостерона, гормона, отвечающего за половое созревание у мужчин.",2003-03-13,2029-03-11,3.2,Delivered
23,Рыбинская,1178,900,Напитки,"Является источником важных нутриентов, необходимых для роста и развития детей.",2002-01-06,2025-07-01,2.33,Shipping
24,Кесадилья с мясом,468,200,Мясо,"Помогает поддерживать нормальный уровень метионина, аминокислоты, необходимой для детоксикации организма.",2008-03-04,2008-04-06,0.52,Sold
25,Бурятская,9344,589,Напитки,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",1994-08-06,2029-06-18,3.51,Cancelled
26,Камамбер,4438,126,Молочные продукты,Помогает улучшить когнитивные функции и память.,2020-03-03,2023-04-14,2.39,Available for Pickup
27,Малина,5202,31,Фрукты,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",2001-01-03,2016-03-11,4.02,Shipping
28,Айран,4191,320,Напитки,Придает блюдам особую нежность и насыщенность.,2016-06-02,2018-01-02,4.24,Awaiting Review
29,Смородина,595,918,Фрукты,Представляет собой ценный источник питательных веществ для растущего организма.,2010-02-24,2027-07-18,3.72,New
30,Грейпфрут,8151,423,Фрукты,Помогает поддерживать нормальный уровень кислотности желудка.,2009-01-01,2013-01-01,1.49,On Backorder
31,Тыквенные семечки,8595,71,Бакалея,Идеален для перекусов между основными приемами пищи.,2001-04-01,2017-09-25,3.12,Available for Pickup
32,Простокваша,9516,238,Молочные продукты,Улучшает настроение и общее самочувствие благодаря содержанию триптофана.,2007-09-10,2018-01-01,2.96,Temporarily Unavailable
33,Цукини,7228,979,Овощи,"Отличается высоким содержанием ниацина, необходимого для здоровья кожи и пищеварения.",2014-02-08,2025-01-14,4.49,Returned
34,Пепперони,8788,389,Мясо,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",2014-04-01,2017-06-01,3.5,On Backorder
35,Легкое,6850,625,Мясо,"Помогает поддерживать нормальный уровень гамма-аминомасляной кислоты (GABA), успокаивающего нейромедиатора.",1992-04-04,1994-02-08,1.85,Delivered
36,Йогурт,419,467,Молочные продукты,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2000-04-09,2027-01-12,1.51,Backorder
37,Мороженое,5184,725,Молочные продукты,Помогает поддерживать нормальный уровень глюкозы в крови.,2010-05-05,2020-01-01,3.59,Awaiting Review
38,Каркаде,4819,128,Напитки,"Отличается высоким содержанием хрома, необходимого для регуляции уровня сахара в крови.",1998-02-11,2013-02-06,2.67,Delivered
39,Голландский сыр,9838,356,Молочные продукты,"Помогает поддерживать нормальный уровень кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2021-05-04,2022-04-22,4.68,On Backorder
40,Пакеты для музея,3214,695,Товары для дома,Отличается гипоаллергенностью и безопасностью для большинства людей.,2018-01-03,2018-01-06,4.15,In Stock
41,Турнепс,2720,125,Овощи,Является важным компонентом сбалансированного рациона питания.,2005-04-03,2026-06-02,4.4,Pending
42,Чеддер,1669,911,Молочные продукты,"Имеет низкий гликемический индекс, что делает его безопасным для диабетиков.",2001-01-06,2027-01-02,3.53,Shipping
43,Каймак,1509,209,Молочные продукты,"Помогает поддерживать нормальный уровень норадреналина, гормона, влияющего на настроение и поведение.",2005-10-07,2028-04-12,2.87,Available for Pickup
44,Пакеты для Дня защиты детей,3863,13,Товары для дома,Улучшает настроение и общее самочувствие благодаря содержанию триптофана.,1991-03-25,2010-03-01,0.04,New
45,Каша из булгура,5739,745,Бакалея,"Отличается высоким содержанием оротовой кислоты, необходимой для синтеза ДНК и РНК.",2022-09-08,2028-05-01,1.87,Awaiting Payment
46,Сорго,3952,947,Бакалея,"Помогает поддерживать нормальный уровень кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1999-06-06,2014-01-02,3.45,In Stock
47,Зельц,3227,633,Мясо,"Помогает поддерживать нормальный уровень мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1990-03-05,2005-01-26,2.29,Available for Pickup
