product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Малина,9625,171,Фрукты,"Доступен в различных упаковках и форматах, что упрощает выбор подходящего варианта.",1997-05-07,2024-01-20,1.78,Refunded
6,Тефтели,5438,797,Мясо,"Отличается высоким содержанием ликопина, каротиноида, полезного для здоровья простаты и кожи.",2021-10-07,2030-01-01,4.32,Refunded
12,Чечевица,3202,629,Овощи,Отличается высокой питательностью и способен быстро утолить голод.,2013-02-16,2022-01-12,3.09,Refunded
16,Наволочки,271,206,Товары для дома,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2017-01-09,2023-02-23,4.14,Refunded
26,Плавленые сырки,4430,237,Бакалея,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",1992-01-18,2029-02-01,1.75,Refunded
28,Донат магний,1016,126,Напитки,"Помогает поддерживать нормальный уровень лептина, гормона насыщения.",2020-01-04,2027-01-19,3.62,Refunded
56,Камчатская,877,329,Напитки,Помогает поддерживать нормальный уровень глюкозы в крови.,2020-12-15,2028-03-01,1.1,Refunded
126,Абрикос,9116,704,Фрукты,"Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.",1990-03-27,1996-01-05,0.21,Refunded
165,Пельмени,6291,719,Мясо,Подходит для использования в диетических программах для похудения.,2019-08-06,2020-04-04,4.52,Refunded
171,Варенье,4941,145,Бакалея,"Отличается высоким содержанием глютамина, необходимого для восстановления мышц после физических нагрузок.",2005-01-15,2028-03-14,2.01,Refunded
174,BonAqua,6636,500,Напитки,"Помогает поддерживать нормальный уровень мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2007-01-09,2024-05-14,2.37,Refunded
186,Свекла,1312,228,Овощи,Отличается легкостью в переваривании и усвоении организмом.,2001-02-03,2011-10-01,1.22,Refunded
188,Укроп,8872,53,Овощи,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",2019-03-06,2024-01-21,2.55,Refunded
