product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Малина,9625,171,Фрукты,"Доступен в различных упаковках и форматах, что упрощает выбор подходящего варианта.",1997-05-07,2024-01-20,1.78,Refunded
2,Каша из полбы,398,889,Бакалея,Представляет собой ценный источник питательных веществ для растущего организма.,2012-02-02,2026-06-02,1.03,Out of Stock
3,Пензенская,4805,626,Напитки,Помогает улучшить когнитивные функции и память.,1997-02-02,2019-02-12,4.97,Returned
4,Термосы,3197,380,Товары для дома,"Отличается низким содержанием жира, что делает его подходящим для тех, кто следит за фигурой.",1992-02-05,2004-01-24,4.17,Returned
5,Бадьян,8700,729,Бакалея,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2004-01-18,2013-01-03,2.76,Out of Stock
6,Тефтели,5438,797,Мясо,"Отличается высоким содержанием ликопина, каротиноида, полезного для здоровья простаты и кожи.",2021-10-07,2030-01-01,4.32,Refunded
7,Великолукская,2352,481,Напитки,Помогает нормализовать артериальное давление и уровень холестерина.,1999-05-07,2016-06-16,3.15,Cancelled
8,Карпаччо,6360,936,Мясо,Подходит для людей с различными пищевыми предпочтениями и аллергиями.,2012-03-09,2020-02-07,4.74,Backorder
9,Мацони,6166,750,Молочные продукты,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",2012-03-07,2014-07-06,1.93,Out of Stock
10,Голландский сыр,9108,896,Молочные продукты,Может использоваться в детском питании начиная с раннего возраста.,1996-04-10,1997-01-09,3.62,Pending
11,Чай черный,907,187,Бакалея,"Помогает поддерживать нормальный уровень метионина, аминокислоты, необходимой для детоксикации организма.",2011-02-06,2025-02-05,0.66,Awaiting Review
12,Чечевица,3202,629,Овощи,Отличается высокой питательностью и способен быстро утолить голод.,2013-02-16,2022-01-12,3.09,Refunded
13,Голландский сыр,5439,402,Молочные продукты,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",2003-07-15,2007-05-05,3.77,Delivered
14,Роллы с мясом,3777,415,Мясо,Подходит для использования в качестве замены традиционных молочных продуктов.,2005-01-09,2006-02-09,1.21,Pending
15,Матрасы,1900,872,Товары для дома,Отличается высокой усвояемостью и не вызывает дискомфорта в желудке.,1995-11-07,2004-03-15,2.55,New
16,Наволочки,271,206,Товары для дома,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2017-01-09,2023-02-23,4.14,Refunded
17,Сулинка,7115,679,Напитки,Помогает поддерживать нормальный уровень тестостерона у мужчин.,2001-07-01,2022-01-01,2.68,Backorder
18,Черешня,3902,496,Фрукты,Часто рекомендуется врачами-диетологами как часть здорового питания.,2011-02-05,2021-02-12,2.47,Awaiting Review
19,Цукини,4280,460,Овощи,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",1993-05-01,1999-01-25,3.53,Delivered
20,Сырокопченая колбаса,3169,868,Мясо,"Обладает приятными органолептическими свойствами, привлекающими внимание покупателей.",2003-01-06,2028-02-04,4.39,In Stock
21,Гауда,3179,130,Молочные продукты,"Помогает поддерживать нормальный уровень гамма-аминомасляной кислоты (GABA), успокаивающего нейромедиатора.",1996-01-07,2012-03-10,4.54,Pending
22,Пакеты для Рождества,1318,874,Товары для дома,Отличается универсальностью применения в кулинарии и пищевой промышленности.,2020-06-16,2023-04-07,4.3,Out of Stock
23,Банан,7641,616,Фрукты,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1993-01-11,2004-04-06,4.72,Returned
24,Пельмени,7180,523,Мясо,"Обладает приятным вкусом и мягкой текстурой, что делает его популярным выбором среди потребителей.",1998-01-01,1999-05-10,4.81,Backorder
25,Кокос,9012,761,Фрукты,Способствует нормализации обмена веществ в организме.,2009-02-01,2028-03-07,4.6,Out of Stock
26,Плавленые сырки,4430,237,Бакалея,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",1992-01-18,2029-02-01,1.75,Refunded
27,Боржоми,2290,533,Напитки,"Отличается высоким содержанием тиамина, необходимого для нормального функционирования нервной системы.",2011-01-01,2014-01-04,2.93,New
28,Донат магний,1016,126,Напитки,"Помогает поддерживать нормальный уровень лептина, гормона насыщения.",2020-01-04,2027-01-19,3.62,Refunded
29,Гранат,5707,452,Фрукты,"Помогает поддерживать нормальный уровень мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2018-02-05,2025-02-03,1.52,Out of Stock
30,Петрушка корневая,9124,648,Овощи,Способствует улучшению работы пищеварительной системы.,2015-03-01,2030-01-07,1.51,Temporarily Unavailable
31,Сок ананасовый,4632,999,Напитки,"Отличается высоким содержанием тиамина, необходимого для нормального функционирования нервной системы.",2011-07-14,2023-02-14,4.33,Awaiting Review
32,Фейхоа,8041,722,Фрукты,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2004-01-21,2025-02-10,1.95,Sold
33,Каша из дробленной овсянки,7904,405,Бакалея,"Отличается высоким содержанием кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2001-03-03,2004-07-03,0.7,Out of Stock
34,Творог,9255,216,Молочные продукты,Помогает поддерживать нормальную функцию щитовидной железы благодаря содержанию йода.,2020-02-03,2028-04-08,3.98,On Backorder
35,Киви,9026,837,Фрукты,Помогает поддерживать нормальный уровень pH в организме.,1994-06-08,2004-12-18,3.02,Sold
36,Мацони,3667,877,Молочные продукты,"Отличается высоким содержанием глютамина, необходимого для восстановления мышц после физических нагрузок.",2015-07-13,2018-01-07,3.15,Awaiting Review
37,Рамбутан,3064,870,Фрукты,Помогает поддерживать нормальный обмен веществ и метаболизм.,1993-03-22,2020-01-09,4.8,Awaiting Payment
38,Горох,7674,552,Овощи,Отличается легкостью в переваривании и усвоении организмом.,2008-05-15,2012-02-07,0.32,Awaiting Review
39,Амурская,3413,423,Напитки,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",1992-01-01,2013-01-08,1.43,Sold
40,Fruko Schulz,7515,941,Напитки,Подходит для использования в рационе людей с повышенным давлением.,1991-02-15,1997-07-13,2.04,New
41,Каша из сорго,8143,871,Бакалея,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",1996-01-05,2019-01-03,3.78,Returned
42,Хурма,4632,95,Фрукты,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",2004-02-15,2016-02-10,0.36,Cancelled
43,Пакеты для школы,6373,671,Товары для дома,"Отличается высоким содержанием рибофлавина, необходимого для здоровья кожи и зрения.",2007-03-10,2022-08-07,1.48,On Backorder
44,Аква Минерале,322,88,Напитки,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,2017-05-25,2018-04-11,4.99,Shipping
45,Каша из дробленого кускуса,737,739,Бакалея,Отличается удобством использования и экономичностью в расходе.,2014-06-03,2018-01-03,0.73,Delivered
46,Сидр яблочный,2683,209,Напитки,Отличается удобством использования и экономичностью в расходе.,2005-04-02,2008-01-24,1.83,Awaiting Payment
47,Пакеты для хранения одежды,5168,523,Товары для дома,Идеален для перекусов между основными приемами пищи.,2002-04-04,2029-03-05,0.86,Sold
48,Гранат,9569,886,Фрукты,"Помогает поддерживать нормальный уровень аллицина, вещества, обладающего антибактериальными и противогрибковыми свойствами.",2006-02-17,2025-01-03,3.76,New
49,Нижнесергиевская,8102,616,Напитки,"Отличается высоким содержанием хрома, необходимого для регуляции уровня сахара в крови.",2009-04-10,2025-01-02,1.68,On Backorder
50,Адлеркурортная,1678,766,Напитки,"Отличается высоким содержанием фолиевой кислоты, необходимой для формирования новых клеток.",2018-01-08,2027-02-22,0.45,In Stock
51,Редис,6663,933,Овощи,Подходит для использования в специализированных диетах и лечебных программах.,2012-01-26,2014-03-03,4.4,Available for Pickup
